,T_GUS_25,T_CCD8_7,T_CCD8_9,T_CCD8_16,T_722_12,T_MMA_4,T_GUS_10,T_722_15,T_MMA_3,T_EP_4,T_712_7,T_EP_3,T_712_9,T_722_14,T_722_13,T_MMA_5,T_GUS_16,T_CCD8_10,T_GUS_18,T_MMA_11,T_712_11,T_712_16,T_CCD8_8,T_712_18,T_GUS_23,T_CCD8_1,T_722_5,T_712_8,T_712_6,T_EP_2,T_722_1,T_722_6,T_712_2,T_EP_1,T_MMA_6,T_GUS_12,T_722_17,T_MMA_1,T_MMA_12,T_CCD8_14,T_CCD8_13,T_CCD8_5,T_GUS_20,T_712_4,T_722_9,T_GUS_21,T_GUS_26,T_CCD8_3,T_712_13,T_712_14,T_MMA_13,T_CCD8_15,T_GUS_13,T_722_16
tet_MFS_efflux,40687.0,37928.0,41408.0,36327.0,36876.0,42508.0,42677.0,40005.0,42683.0,38882.0,28508.0,37751.0,35285.0,37662.0,34540.0,34966.0,40167.0,37072.0,41887.0,40652.0,30139.0,32712.0,32773.0,30587.0,38692.0,43786.0,38211.0,35030.0,30996.0,34559.0,38245.0,38505.0,32207.0,38757.0,35174.0,37653.0,36718.0,39782.0,43900.0,36611.0,36109.0,39769.0,37811.0,30305.0,43879.0,41924.0,38996.0,42905.0,32471.0,32794.0,42151.0,40741.0,36100.0,35109.0
tet_ribosomoal_protect,100967.0,96958.0,99793.0,94384.0,98482.0,95993.0,101278.0,103553.0,99692.0,101808.0,76332.0,104104.0,89125.0,97230.0,92025.0,95815.0,103035.0,97212.0,102973.0,96328.0,78842.0,83973.0,93163.0,79640.0,103288.0,107453.0,99801.0,86725.0,79546.0,104022.0,96015.0,94793.0,78119.0,105139.0,87105.0,97137.0,100792.0,102952.0,103348.0,98148.0,97595.0,97990.0,90077.0,74525.0,108245.0,102397.0,105481.0,104450.0,82718.0,81233.0,94035.0,103001.0,94364.0,95603.0
tolC,25375.0,25370.0,21862.0,22190.0,22265.0,17912.0,23298.0,23499.0,22278.0,25241.0,15009.0,22373.0,21092.0,23114.0,22272.0,20503.0,26445.0,20098.0,24500.0,19193.0,17414.0,17423.0,22677.0,19128.0,29462.0,23486.0,22366.0,18617.0,16313.0,27935.0,22161.0,20843.0,14833.0,24939.0,16526.0,24033.0,23404.0,21285.0,21483.0,27016.0,23268.0,19499.0,19648.0,17162.0,24139.0,19831.0,26806.0,21473.0,18132.0,18926.0,19777.0,23266.0,21554.0,22072.0
vanA,4117.0,3839.0,3706.0,3549.0,3990.0,3741.0,4390.0,4285.0,4532.0,4947.0,3132.0,4886.0,3703.0,3988.0,3563.0,3207.0,4584.0,4176.0,3431.0,3902.0,3064.0,3778.0,3654.0,3655.0,4403.0,4409.0,4171.0,3447.0,3747.0,3695.0,3516.0,3535.0,3802.0,4747.0,3390.0,3926.0,3822.0,4739.0,4328.0,3754.0,4024.0,4195.0,3843.0,3224.0,4509.0,4521.0,3909.0,4693.0,3702.0,3562.0,3909.0,4127.0,4099.0,3856.0
vanB,2799.0,2133.0,1768.0,2022.0,2021.0,1837.0,1870.0,2729.0,1964.0,2031.0,1535.0,1372.0,2072.0,2077.0,1804.0,1343.0,2083.0,2249.0,2250.0,2355.0,1404.0,1237.0,1776.0,1400.0,2216.0,1837.0,2051.0,1625.0,1462.0,1903.0,2043.0,1745.0,1613.0,1375.0,1634.0,2310.0,2233.0,1596.0,2071.0,2337.0,1771.0,1909.0,1746.0,1477.0,1998.0,1934.0,2172.0,1852.0,1851.0,1695.0,2117.0,2297.0,1674.0,2043.0
vanC,7824.0,8186.0,7662.0,6884.0,7262.0,7118.0,7138.0,7269.0,7068.0,8543.0,5717.0,7080.0,6202.0,6979.0,7061.0,6157.0,7440.0,6541.0,7862.0,6980.0,5714.0,6063.0,7003.0,5695.0,8021.0,9013.0,7838.0,5986.0,5076.0,7707.0,7884.0,7098.0,5638.0,7706.0,5848.0,7314.0,7243.0,8054.0,7706.0,7162.0,7360.0,7522.0,6504.0,5168.0,8510.0,7777.0,7942.0,7886.0,5764.0,5982.0,6547.0,7405.0,7260.0,7099.0
vanD,8691.0,6562.0,7111.0,6774.0,7570.0,6648.0,7858.0,7842.0,7054.0,7895.0,5453.0,8007.0,6435.0,7113.0,6436.0,7099.0,7891.0,7804.0,6867.0,7770.0,5166.0,5589.0,6734.0,5948.0,7818.0,8432.0,7989.0,6650.0,5588.0,7149.0,6697.0,6871.0,5355.0,8236.0,6366.0,6847.0,7878.0,7106.0,7520.0,7144.0,7672.0,6410.0,6569.0,5321.0,7800.0,6920.0,8157.0,7032.0,5304.0,5921.0,7022.0,8047.0,6719.0,6872.0
vanH,52589.0,51272.0,49870.0,48831.0,49559.0,45983.0,51961.0,49875.0,51189.0,47202.0,35081.0,47235.0,43129.0,47202.0,44952.0,44124.0,53669.0,45347.0,51027.0,46020.0,35048.0,40987.0,45498.0,39148.0,52283.0,55263.0,50865.0,41237.0,36826.0,49797.0,49339.0,48463.0,36635.0,48672.0,41496.0,48929.0,48810.0,48053.0,53288.0,45712.0,49243.0,47102.0,44646.0,35378.0,58322.0,51377.0,52201.0,50052.0,37254.0,40246.0,44667.0,49829.0,45807.0,43950.0
vanR,402712.0,394147.0,339691.0,350099.0,334528.0,313685.0,360382.0,370272.0,352384.0,348339.0,249029.0,340003.0,313950.0,345384.0,330029.0,310565.0,412337.0,336272.0,382387.0,335177.0,267423.0,279319.0,332635.0,282354.0,427375.0,383291.0,346001.0,300941.0,263842.0,421595.0,334116.0,332357.0,257310.0,361040.0,275884.0,374736.0,387268.0,338920.0,363244.0,370483.0,355847.0,326289.0,307511.0,275428.0,363248.0,350144.0,384523.0,359898.0,291869.0,289002.0,359623.0,359517.0,329004.0,322402.0
vanS,442395.0,436829.0,362100.0,380232.0,363385.0,328029.0,392755.0,400454.0,386401.0,395239.0,258245.0,375843.0,338942.0,364532.0,355058.0,333637.0,452847.0,356227.0,421974.0,345191.0,281442.0,293159.0,352829.0,308335.0,484716.0,411291.0,367490.0,316497.0,279801.0,479746.0,362489.0,353740.0,262107.0,399096.0,279179.0,406765.0,407576.0,359301.0,392955.0,409173.0,384027.0,336307.0,326865.0,305816.0,400778.0,366917.0,415139.0,382685.0,301382.0,309479.0,383709.0,375471.0,352320.0,345827.0
vanT,12036.0,11834.0,11054.0,10870.0,11393.0,10947.0,12250.0,11983.0,12406.0,10609.0,8721.0,9831.0,10012.0,11042.0,10795.0,10138.0,12476.0,11605.0,11710.0,12363.0,8755.0,9870.0,10537.0,9380.0,11719.0,12465.0,12288.0,10182.0,9373.0,11659.0,10954.0,11289.0,9328.0,10437.0,9648.0,10880.0,10814.0,11584.0,12630.0,10804.0,10770.0,11934.0,10521.0,8928.0,13160.0,11626.0,12069.0,12436.0,10148.0,9550.0,11849.0,11673.0,10513.0,10504.0
vanW,1753.0,1145.0,703.0,1165.0,704.0,827.0,830.0,808.0,1022.0,922.0,647.0,834.0,495.0,599.0,626.0,471.0,1638.0,718.0,849.0,853.0,390.0,517.0,878.0,700.0,1531.0,898.0,661.0,647.0,495.0,1754.0,622.0,626.0,480.0,697.0,631.0,1155.0,1825.0,770.0,835.0,1375.0,1067.0,552.0,595.0,514.0,854.0,768.0,997.0,697.0,370.0,610.0,1448.0,1003.0,932.0,585.0
vanX,3300.0,3738.0,3761.0,3060.0,3513.0,3471.0,4021.0,3992.0,3996.0,3905.0,2865.0,3583.0,3139.0,3417.0,3368.0,3378.0,3743.0,3625.0,3813.0,3853.0,2746.0,3168.0,3424.0,2891.0,3404.0,4064.0,3795.0,3183.0,3032.0,2789.0,3651.0,3928.0,2930.0,3660.0,3190.0,3422.0,3279.0,3508.0,3868.0,3186.0,3204.0,4077.0,3386.0,3093.0,3876.0,4033.0,3417.0,4067.0,3348.0,3060.0,2934.0,3752.0,3209.0,3326.0
vanY,1135.0,1047.0,787.0,1040.0,1102.0,1500.0,1275.0,1248.0,1355.0,1153.0,897.0,1191.0,821.0,941.0,841.0,1364.0,1136.0,1089.0,1375.0,1490.0,979.0,1051.0,1058.0,771.0,860.0,1130.0,949.0,1208.0,924.0,959.0,855.0,1002.0,828.0,1134.0,984.0,1004.0,891.0,1760.0,1409.0,871.0,839.0,1061.0,1052.0,926.0,841.0,1221.0,982.0,992.0,827.0,947.0,1648.0,1349.0,1096.0,1243.0
vanZ,457.0,420.0,464.0,352.0,447.0,502.0,530.0,542.0,364.0,884.0,389.0,627.0,478.0,402.0,451.0,274.0,527.0,572.0,397.0,630.0,235.0,222.0,363.0,323.0,446.0,558.0,409.0,426.0,362.0,416.0,372.0,377.0,307.0,678.0,549.0,409.0,584.0,490.0,342.0,490.0,478.0,461.0,374.0,324.0,505.0,567.0,424.0,501.0,353.0,321.0,517.0,522.0,475.0,279.0
